wandb_step,episode_return,episode_length,replay_buffer_length
0,400,327,328
1,100,214,543
2,250,331,875
162,200,308,1184
526,300,363,1548
754,150,227,1776
1289,450,534,2311
1562,100,272,2584
1792,250,229,2814
2169,300,376,3191
2609,600,439,3631
2872,200,262,3894
3102,200,229,4124
3374,550,271,4396
3657,400,282,4679
3920,200,262,4942
4183,300,262,5205
4386,100,202,5408
4680,300,293,5702
4917,350,236,5939
5180,300,262,6202
5393,250,212,6415
5696,350,302,6718
5909,300,212,6931
6471,750,561,7493
6667,250,195,7689
6886,350,218,7908
7104,200,217,8126
7310,200,205,8332
7529,250,218,8551
7789,300,259,8811
8024,400,234,9046
8290,300,265,9312
8495,300,204,9517
8732,250,236,9754
9005,350,272,10027
9226,250,220,10248
9392,300,165,10414
9981,750,588,11003
10321,500,339,11343
10672,400,350,11694
11088,500,415,12110
11342,450,253,12364
11768,450,425,12790
12045,400,276,13067
12247,300,201,13269
12549,700,301,13571
12857,500,307,13879
13145,400,287,14167
13417,450,271,14439
13802,700,384,14824
14003,300,200,15025
14443,750,439,15465
14773,600,329,15795
15088,500,314,16110
15293,300,204,16315
15610,700,316,16632
15904,350,293,16926
16158,450,253,17180
16470,550,311,17492
16775,350,304,17797
17021,350,245,18043
17251,450,229,18273
17640,850,388,18662
17837,300,196,18859
18150,600,312,19172
18499,700,348,19521
18799,500,299,19821
19017,450,217,20039
19245,300,227,20267
19497,450,251,20519
19746,350,248,20768
19995,500,248,21017
20399,750,403,21421
20688,600,288,21710
20971,400,282,21993
21347,650,375,22369
21652,450,304,22674
21966,700,313,22988
22343,550,376,23365
22639,550,295,23661
22946,500,306,23968
23257,650,310,24279
23563,500,305,24585
23877,650,313,24899
24309,900,431,25331
24610,450,300,25632
25081,850,470,26103
25452,700,370,26474
25758,650,305,26780
26127,800,368,27149
26415,600,287,27437
26705,650,289,27727
26979,550,273,28001
27321,750,341,28343
27635,700,313,28657
27895,600,259,28917
28311,850,415,29333
28715,800,403,29737
29282,1100,566,30304
29592,750,309,30614
30078,900,485,31100
30430,850,351,31452
30821,700,390,31843
31212,800,390,32234
31720,950,507,32742
32100,650,379,33122
32320,300,219,33342
32682,650,361,33704
33219,1100,536,34241
33713,1050,493,34735
34099,650,385,35121
34503,750,403,35525
34811,700,307,35833
35189,750,377,36211
35505,600,315,36527
35805,600,299,36827
36228,800,422,37250
36615,700,386,37637
37000,700,384,38022
37433,700,432,38455
37737,600,303,38759
38231,1000,493,39253
38638,800,406,39660
39022,800,383,40044
39357,750,334,40379
39763,750,405,40785
40231,1000,467,41253
40618,650,386,41640
41114,1200,495,42136
41579,900,464,42601
42109,1050,529,43131
42384,600,274,43406
42901,1050,516,43923
43142,500,240,44164
43646,1000,503,44668
44035,800,388,45057
44679,1100,643,45701
45093,750,413,46115
45576,1000,482,46598
46066,1050,489,47088
46430,750,363,47452
46935,900,504,47957
47301,650,365,48323
47683,400,381,48705
48046,650,362,49068
48342,600,295,49364
48979,1150,636,50001
49402,750,422,50424
49787,800,384,50809
50211,850,423,51233
50598,700,386,51620
51051,750,452,52073
51450,650,398,52472
51688,400,237,52710
51936,450,247,52958
52378,950,441,53400
52713,750,334,53735
52898,200,184,53920
53273,900,374,54295
53580,600,306,54602
54054,900,473,55076
54287,350,232,55309
54768,900,480,55790
55290,850,521,56312
55590,500,299,56612
55947,750,356,56969
56434,950,486,57456
56741,600,306,57763
57070,700,328,58092
57441,800,370,58463
57747,600,305,58769
58189,950,441,59211
58585,800,395,59607
59003,1000,417,60025
59458,900,454,60480
59759,650,300,60781
60193,900,433,61215
60496,600,302,61518
60806,700,309,61828
61180,600,373,62202
61681,850,500,62703
62063,850,381,63085
62573,850,509,63595
62884,600,310,63906
63449,1050,564,64471
63894,750,444,64916
64427,1000,532,65449
65007,1100,579,66029
65441,950,433,66463
65864,1000,422,66886
66345,1050,480,67367
66703,750,357,67725
67200,1000,496,68222
67598,800,397,68620
68116,1150,517,69138
68809,1300,692,69831
69249,800,439,70271
69651,850,401,70673
70373,1300,721,71395
70795,950,421,71817
71187,750,391,72209
71654,850,466,72676
72085,950,430,73107
72547,1050,461,73569
72964,1050,416,73986
73275,550,310,74297
73664,900,388,74686
74108,1050,443,75130
74576,950,467,75598
75089,1000,512,76111
75490,800,400,76512
75868,900,377,76890
76359,1050,490,77381
76912,1200,552,77934
77336,950,423,78358
77796,1050,459,78818
78224,1000,427,79246
78657,850,432,79679
79178,1000,520,80200
79640,950,461,80662
80102,1200,461,81124
80529,1000,426,81551
80994,1200,464,82016
81441,1100,446,82463
81973,1400,531,82995
82412,1050,438,83434
82895,900,482,83917
83346,1100,450,84368
83869,1350,522,84891
84260,950,390,85282
84645,800,384,85667
85078,1050,432,86100
85529,1000,450,86551
85998,1000,468,87020
86423,850,424,87445
86834,850,410,87856
87304,1050,469,88326
87714,1000,409,88736
88112,800,397,89134
88523,900,410,89545
88923,900,399,89945
89441,1200,517,90463
89852,850,410,90874
90254,900,401,91276
90566,750,311,91588
90890,700,323,91912
91400,1450,509,92422
91840,1050,439,92862
92341,1000,500,93363
92757,900,415,93779
93347,1050,589,94369
94098,1450,750,95120
94667,1400,568,95689
95069,850,401,96091
95507,850,437,96529
96085,1250,577,97107
96483,950,397,97505
97063,1150,579,98085
97471,900,407,98493
97872,850,400,98894
98438,1350,565,99460
98926,1050,487,99948
99416,1050,489,100000
99886,950,469,100000
100325,850,438,100000
100790,1100,464,100000
