stage,baseline,flash
0,121.98863263890024,90.53529505669742
1,130.88654913988626,102.85841544205793
2,134.2938954490686,107.71974110344718
3,138.20761526611363,110.15111014677282
4,142.7449717187657,113.17955889979068
5,146.41932383419123,115.41082439001708
6,148.6479033143204,116.03545337875055
7,151.8463605786678,118.27658072214564
8,155.1368117938836,121.03933590157274
9,158.75518210323253,123.63660380481662
10,161.24005574611238,125.66255288651166
11,164.3164090683583,128.3282760204978
12,165.1993219547309,130.25692427312293
13,165.87652543157037,127.91673389840717
14,166.41973179060182,127.15054496719105
15,169.79458154596327,129.52927014521768
16,180.54383670041958,143.04040342087697
