stage,baseline,flash
0,122.58109059931729,120.93169239331561
1,130.3185469492809,134.16113216537852
2,135.5642863884427,143.45186116234743
3,140.1352823080942,147.9921241876459
4,143.51383960936116,153.36758221255045
5,143.59276012748617,161.16588266346378
6,142.2332316595366,164.6772590836553
7,144.1948095468106,169.25273308494076
8,144.37416575075557,171.71321442768266
9,144.59184798346644,175.17323605771742
10,146.0023245966932,177.5542026847014
11,149.71829497595206,180.43515142393497
12,152.80469001492528,181.0360029118869
13,149.8856507586075,174.64668684481725
14,148.46440668694837,169.3923121344844
15,151.22197920867163,165.32064337162726
16,158.57960269653827,174.847687178895
