panel,config,reference,sampling,games,seed_cells,min_n,max_n,wins,losses,game_sign_p,metric,reference_value,config_value,delta,improvement_pct,ci_low,ci_high,included_games
three_way,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,24,2,5,4,3,1.0,Mean,0.7036778530380611,0.6693851049542127,-0.03429274808384841,-4.873359014468451,-0.06416101908508695,-0.0041757567659270675,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,24,2,5,4,3,1.0,Median,0.2317134448352595,0.2205153973153399,-0.011198047519919596,-4.832713754646837,-0.04839635153766759,0.05366061475983164,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,24,2,5,4,3,1.0,IQM_game_workbook,0.2711732861595773,0.291050618601285,0.019877332441707696,7.3301219022033335,0.0004961350179339519,0.040509009367190346,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,24,2,5,4,3,1.0,Gap_game_workbook,0.6503535956069709,0.6353656478059078,-0.014987947801063162,2.304584444878021,-0.03059452550974143,-4.0049301510966024e-05,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,24,2,5,4,3,1.0,IQM_run_equal_game,0.25668686935621843,0.26602124198280364,0.009334372626585208,3.6364823218251137,-0.009276991049200744,0.0326446746998259,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,24,2,5,4,3,1.0,Gap_run_equal_game,0.6503535956069708,0.6353656478059078,-0.01498794780106305,2.3045844448780044,-0.030594525509741535,-4.0049301511407335e-05,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),paired,7,24,2,5,3,4,1.0,Mean,0.7324592213863232,0.6693851049542127,-0.06307411643211058,-8.611280272058067,-0.0953169185160519,-0.03105136103008914,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),paired,7,24,2,5,3,4,1.0,Median,0.19596101902777044,0.2205153973153399,0.024554378287569456,12.530236069087678,-0.016063917119835482,0.07634338015664616,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),paired,7,24,2,5,3,4,1.0,IQM_game_workbook,0.28411073893543126,0.291050618601285,0.006939879665853743,2.442667141642591,-0.01918260245291492,0.030459317332937993,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),paired,7,24,2,5,3,4,1.0,Gap_game_workbook,0.639839206181425,0.6353656478059078,-0.004473558375517217,0.6991691556720189,-0.02147267336573278,0.014264560873340647,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),paired,7,24,2,5,3,4,1.0,IQM_run_equal_game,0.2516264274761516,0.26602124198280364,0.014394814506652032,5.720708532499564,-0.008393335417664889,0.03635848900600738,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),paired,7,24,2,5,3,4,1.0,Gap_run_equal_game,0.6398392061814251,0.6353656478059078,-0.004473558375517328,0.6991691556720361,-0.02147267336573278,0.014264560873340647,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,29,2,5,5,2,0.453125,Mean,0.7722360971489345,0.8025744484547405,0.030338351305805977,3.9286367754387532,-0.04272488730580517,0.1070247584929202,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,29,2,5,5,2,0.453125,Median,0.2317134448352595,0.2205153973153399,-0.011198047519919596,-4.832713754646837,-0.053406072787308856,0.052837531817319566,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,29,2,5,5,2,0.453125,IQM_game_workbook,0.2897590433714748,0.30158127327251566,0.01182222990104087,4.080021028328915,-0.010096235927904755,0.03329293643601933,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,29,2,5,5,2,0.453125,Gap_game_workbook,0.6370780547413298,0.6278437516121717,-0.009234303129158183,1.4494775107121762,-0.02538407050077162,0.007399611742271624,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,29,2,5,5,2,0.453125,IQM_run_equal_game,0.2681932641197525,0.2804474146153856,0.01225415049563311,4.569149242376736,-0.00674610857985893,0.03295848230875688,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.12),Retrieval 미사용,paired,7,29,2,5,5,2,0.453125,Gap_run_equal_game,0.63707805474133,0.6278437516121717,-0.009234303129158294,1.4494775107121933,-0.025384070500771846,0.0073996117422715155,"Alien, Amidar, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,28,2,5,2,6,0.2890625,Mean,0.8008540307210716,0.7727614660216044,-0.028092564699467193,-3.50782584863477,-0.10708467035933392,0.050604468652006754,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,28,2,5,2,6,0.2890625,Median,0.3094279931094581,0.29558339944128664,-0.013844593668171479,-4.4742537767984185,-0.054904101241210035,0.03493497393390571,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,28,2,5,2,6,0.2890625,IQM_game_workbook,0.3044842238968078,0.3011911808944677,-0.003293043002340068,-1.0815151472202735,-0.03592532629785482,0.0298816985022125,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,28,2,5,2,6,0.2890625,Gap_game_workbook,0.5660647974668879,0.5722370821094566,0.006172284642568693,-1.0903848234670948,-0.011331482198135687,0.02274169073254718,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,28,2,5,2,6,0.2890625,IQM_run_equal_game,0.3171531531316683,0.3079700491570543,-0.009183103974614026,-2.8954793240859247,-0.039958242870375874,0.023830794324428934,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,28,2,5,2,6,0.2890625,Gap_run_equal_game,0.5660647974668878,0.5722370821094567,0.006172284642568915,-1.0903848234671343,-0.011331482198135573,0.022741690732547188,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),paired,8,28,2,5,3,5,0.7265625,Mean,0.8128254143747238,0.7727614660216044,-0.04006394835311933,-4.928973386485341,-0.11280314717658288,0.03277178832504957,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),paired,8,28,2,5,3,5,0.7265625,Median,0.31175076824014675,0.29558339944128664,-0.016167368798860104,-5.185991646508507,-0.05761223380949282,0.022401389405073246,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),paired,8,28,2,5,3,5,0.7265625,IQM_game_workbook,0.32128406829215805,0.3011911808944677,-0.02009288739769033,-6.253932074658293,-0.05404013108589467,0.01310702009109275,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),paired,8,28,2,5,3,5,0.7265625,Gap_game_workbook,0.5631606423875488,0.5722370821094566,0.009076439721907748,-1.6116963862083313,-0.008774014807832561,0.026943724917781957,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),paired,8,28,2,5,3,5,0.7265625,IQM_run_equal_game,0.3304332744323106,0.3079700491570543,-0.022463225275256293,-6.798112361368103,-0.05446457998648688,0.010318495634277617,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),paired,8,28,2,5,3,5,0.7265625,Gap_run_equal_game,0.5631606423875488,0.5722370821094567,0.009076439721907859,-1.611696386208351,-0.00877401480783245,0.02694372491778196,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,Mean,0.8616113358737134,0.8648050564565595,0.00319372058284606,0.37066835705074386,-0.049267864899146634,0.04950944875604126,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,Median,0.31679360027217945,0.31445856873985245,-0.0023350315323270032,-0.7370829241249871,-0.054402390568758584,0.044005022586521475,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,IQM_game_workbook,0.32925410352293455,0.33914253038264475,0.009888426859710198,3.003281281510713,-0.02582011063438421,0.04708504615604349,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,Gap_game_workbook,0.5536798576538244,0.5532614073653681,-0.00041845028845632903,0.07557621659373338,-0.019794754612063693,0.017707340109298402,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,IQM_run_equal_game,0.34161117191620805,0.34578142442590065,0.004170252509692607,1.220759990459418,-0.029786152159475828,0.04103318453803229,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
baseline_all_available,target: 12 (anchor: 0.2),Retrieval 미사용,paired,8,34,2,5,3,5,0.7265625,Gap_run_equal_game,0.5536798576538244,0.553261407365368,-0.00041845028845644006,0.07557621659375344,-0.019794754612063804,0.01770734010929796,"Alien, Amidar, Assault, BattleZone, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor 미설정),Retrieval 미사용,paired,12,33,1,5,8,4,0.3876953125,Mean,1.0053255026295427,1.0298925990816796,0.02456709645213695,2.443695737139755,0.0061622649743730325,0.04307696553074083,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor 미설정),Retrieval 미사용,paired,12,33,1,5,8,4,0.3876953125,Median,0.306828944639852,0.31606937438948957,0.009240429749637569,3.0115899790626828,-0.041634194306607475,0.03460909411606955,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor 미설정),Retrieval 미사용,paired,12,33,1,5,8,4,0.3876953125,IQM_game_workbook,0.29627122605523265,0.2872904569539667,-0.00898076910126594,-3.0312660533533187,-0.030559572009642627,0.013592967252411665,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor 미설정),Retrieval 미사용,paired,12,33,1,5,8,4,0.3876953125,Gap_game_workbook,0.5935539535245038,0.6017607316495198,0.008206778125016023,-1.382650739041404,-0.0037340211748536105,0.01975221610743961,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor 미설정),Retrieval 미사용,paired,12,33,1,5,8,4,0.3876953125,IQM_run_equal_game,0.301973450666543,0.29017681432514075,-0.011796636341402267,-3.906514402297178,-0.03316751230957913,0.010638648747653568,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor 미설정),Retrieval 미사용,paired,12,33,1,5,8,4,0.3876953125,Gap_run_equal_game,0.5935539535245038,0.6017607316495198,0.008206778125016023,-1.382650739041404,-0.003734021174853719,0.019752216107439498,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
three_way,target: 16 (anchor 미설정),target: 1 (anchor 미설정),paired,12,33,1,5,4,8,0.3876953125,Mean,1.0698743751397546,1.0298925990816796,-0.03998177605807496,-3.7370533388887135,-0.05678024100764837,-0.023026842599332385,"Alien, Amidar, Assault, Asterix, BattleZone, Boxing, Breakout, ChopperCommand, Frostbite, Krull, Qbert, UpNDown"
