Game,Config,Reference,Common Seeds,Seed IDs,Reference Paired Mean,Config Paired Mean,Delta (Config - Reference)
Alien,target: 4 (anchor 미설정),Retrieval 미사용,4,"1, 2000, 6000, 6010",1056.75,923.375,-133.375
Alien,target: 4 (anchor 미설정),target: 1 (anchor 미설정),4,"1, 2000, 6000, 6010",1031.875,923.375,-108.5
Alien,target: 8 (anchor: 0.3),Retrieval 미사용,3,"2000, 6000, 6010",1028.333333333333,954.6666666666666,-73.66666666666663
Alien,target: 8 (anchor: 0.3),target: 1 (anchor 미설정),3,"2000, 6000, 6010",992.1666666666666,954.6666666666666,-37.5
Alien,target: 12 (anchor: 0.12),Retrieval 미사용,3,"1, 6000, 6010",1179.5,1140.5,-39.0
Alien,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),3,"1, 6000, 6010",1162.166666666667,1140.5,-21.66666666666674
Alien,target: 12 (anchor: 0.2),Retrieval 미사용,4,"1, 2000, 6000, 6010",1056.75,1026.5,-30.25
Alien,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),4,"1, 2000, 6000, 6010",1031.875,1026.5,-5.375
Alien,target: 16 (anchor 미설정),Retrieval 미사용,4,"1, 2000, 6000, 6010",1056.75,1058.625,1.875
Alien,target: 16 (anchor 미설정),target: 1 (anchor 미설정),4,"1, 2000, 6000, 6010",1031.875,1058.625,26.75
Alien,target: 16 (anchor: 0.4),Retrieval 미사용,3,"2000, 6000, 6010",1028.333333333333,1075.333333333333,47.0
Alien,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),3,"2000, 6000, 6010",992.1666666666666,1075.333333333333,83.16666666666663
Amidar,target: 4 (anchor 미설정),Retrieval 미사용,4,"1, 6000, 6010, 6020",224.55,194.4625,-30.08749999999998
Amidar,target: 4 (anchor 미설정),target: 1 (anchor 미설정),4,"1, 6000, 6010, 6020",160.0875,194.4625,34.37500000000003
Amidar,target: 8 (anchor: 0.3),Retrieval 미사용,3,"6000, 6010, 6020",234.4166666666667,201.2333333333333,-33.18333333333331
Amidar,target: 8 (anchor: 0.3),target: 1 (anchor 미설정),3,"6000, 6010, 6020",165.25,201.2333333333333,35.98333333333335
Amidar,target: 12 (anchor: 0.12),Retrieval 미사용,2,"1, 6000",162.875,172.35,9.474999999999994
Amidar,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),2,"1, 6000",178.15,172.35,-5.799999999999983
Amidar,target: 12 (anchor: 0.2),Retrieval 미사용,3,"6000, 6010, 6020",234.4166666666667,179.8833333333333,-54.53333333333333
Amidar,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),3,"6000, 6010, 6020",165.25,179.8833333333333,14.63333333333333
Amidar,target: 16 (anchor 미설정),Retrieval 미사용,2,"1, 6000",162.875,131.275,-31.59999999999999
Amidar,target: 16 (anchor 미설정),target: 1 (anchor 미설정),2,"1, 6000",178.15,131.275,-46.87499999999997
Amidar,target: 16 (anchor: 0.4),Retrieval 미사용,3,"6000, 6010, 6020",234.4166666666667,198.8166666666667,-35.59999999999997
Amidar,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),3,"6000, 6010, 6020",165.25,198.8166666666667,33.56666666666669
Assault,target: 4 (anchor 미설정),Retrieval 미사용,4,"1, 2000, 6000, 6010",821.1125,720.9375,-100.175
Assault,target: 4 (anchor 미설정),target: 1 (anchor 미설정),4,"1, 2000, 6000, 6010",833.9,720.9375,-112.9625
Assault,target: 8 (anchor: 0.3),Retrieval 미사용,3,"2000, 6000, 6010",859.8166666666666,833.5,-26.31666666666661
Assault,target: 8 (anchor: 0.3),target: 1 (anchor 미설정),3,"2000, 6000, 6010",864.9499999999999,833.5,-31.44999999999993
Assault,target: 12 (anchor: 0.2),Retrieval 미사용,2,"6000, 6010",979.525,856.525,-123.0
Assault,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),2,"6000, 6010",950.7750000000001,856.525,-94.25000000000011
Assault,target: 16 (anchor 미설정),Retrieval 미사용,2,"1, 2000",662.7,697.875,35.17499999999995
Assault,target: 16 (anchor 미설정),target: 1 (anchor 미설정),2,"1, 2000",717.025,697.875,-19.14999999999998
Assault,target: 16 (anchor: 0.4),Retrieval 미사용,2,"2000, 6000",873.4749999999999,794.375,-79.09999999999991
Assault,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),2,"2000, 6000",863.5,794.375,-69.125
Asterix,target: 4 (anchor 미설정),Retrieval 미사용,2,"10, 3710",546.25,700.0,153.75
Asterix,target: 4 (anchor 미설정),target: 1 (anchor 미설정),2,"10, 3710",572.5,700.0,127.5
Asterix,target: 16 (anchor 미설정),Retrieval 미사용,2,"10, 3710",546.25,563.75,17.5
Asterix,target: 16 (anchor 미설정),target: 1 (anchor 미설정),2,"10, 3710",572.5,563.75,-8.75
BattleZone,target: 4 (anchor 미설정),Retrieval 미사용,5,"2000, 2010, 6000, 6010, 6020",10430.0,9800.0,-630.0
BattleZone,target: 4 (anchor 미설정),target: 1 (anchor 미설정),5,"2000, 2010, 6000, 6010, 6020",8750.0,9800.0,1050.0
BattleZone,target: 8 (anchor: 0.3),Retrieval 미사용,5,"2000, 2010, 6000, 6010, 6020",10430.0,8330.0,-2100.0
BattleZone,target: 8 (anchor: 0.3),target: 1 (anchor 미설정),5,"2000, 2010, 6000, 6010, 6020",8750.0,8330.0,-420.0
BattleZone,target: 12 (anchor: 0.12),Retrieval 미사용,5,"2000, 2010, 6000, 6010, 6020",10430.0,10040.0,-390.0
BattleZone,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),5,"2000, 2010, 6000, 6010, 6020",8750.0,10040.0,1290.0
BattleZone,target: 12 (anchor: 0.2),Retrieval 미사용,5,"2000, 2010, 6000, 6010, 6020",10430.0,9720.0,-710.0
BattleZone,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),5,"2000, 2010, 6000, 6010, 6020",8750.0,9720.0,970.0
BattleZone,target: 16 (anchor 미설정),Retrieval 미사용,5,"2000, 2010, 6000, 6010, 6020",10430.0,10050.0,-380.0
BattleZone,target: 16 (anchor 미설정),target: 1 (anchor 미설정),5,"2000, 2010, 6000, 6010, 6020",8750.0,10050.0,1300.0
BattleZone,target: 16 (anchor: 0.4),Retrieval 미사용,5,"2000, 2010, 6000, 6010, 6020",10430.0,9890.0,-540.0
BattleZone,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),5,"2000, 2010, 6000, 6010, 6020",8750.0,9890.0,1140.0
Boxing,target: 4 (anchor 미설정),Retrieval 미사용,1,10,68.6,76.95,8.350000000000009
Boxing,target: 4 (anchor 미설정),target: 1 (anchor 미설정),1,10,74.85,76.95,2.100000000000009
Boxing,target: 16 (anchor 미설정),Retrieval 미사용,1,10,68.6,70.2,1.600000000000009
Boxing,target: 16 (anchor 미설정),target: 1 (anchor 미설정),1,10,74.85,70.2,-4.649999999999991
Breakout,target: 4 (anchor 미설정),Retrieval 미사용,2,"10, 3710",12.7,12.0,-0.6999999999999993
Breakout,target: 4 (anchor 미설정),target: 1 (anchor 미설정),2,"10, 3710",13.85,12.0,-1.85
Breakout,target: 16 (anchor 미설정),Retrieval 미사용,2,"10, 3710",12.7,13.9,1.199999999999999
Breakout,target: 16 (anchor 미설정),target: 1 (anchor 미설정),2,"10, 3710",13.85,13.9,0.04999999999999893
ChopperCommand,target: 4 (anchor 미설정),Retrieval 미사용,1,710,1980.0,1675.0,-305.0
ChopperCommand,target: 4 (anchor 미설정),target: 1 (anchor 미설정),1,710,1360.0,1675.0,315.0
ChopperCommand,target: 16 (anchor 미설정),Retrieval 미사용,1,710,1980.0,970.0,-1010.0
ChopperCommand,target: 16 (anchor 미설정),target: 1 (anchor 미설정),1,710,1360.0,970.0,-390.0
Frostbite,target: 4 (anchor 미설정),Retrieval 미사용,5,"10, 710, 3710, 6000, 6010",1781.0,2158.1,377.0999999999999
Frostbite,target: 4 (anchor 미설정),target: 1 (anchor 미설정),5,"10, 710, 3710, 6000, 6010",2106.7,2158.1,51.40000000000009
Frostbite,target: 8 (anchor: 0.3),Retrieval 미사용,5,"10, 710, 3710, 6000, 6010",1781.0,2038.4,257.4000000000001
Frostbite,target: 8 (anchor: 0.3),target: 1 (anchor 미설정),5,"10, 710, 3710, 6000, 6010",2106.7,2038.4,-68.29999999999973
Frostbite,target: 12 (anchor: 0.12),Retrieval 미사용,5,"10, 710, 3710, 6000, 6010",1781.0,1973.9,192.9000000000001
Frostbite,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),5,"10, 710, 3710, 6000, 6010",2106.7,1973.9,-132.7999999999997
Frostbite,target: 12 (anchor: 0.2),Retrieval 미사용,5,"10, 710, 3710, 6000, 6010",1781.0,1848.1,67.09999999999991
Frostbite,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),5,"10, 710, 3710, 6000, 6010",2106.7,1848.1,-258.5999999999999
Frostbite,target: 16 (anchor 미설정),Retrieval 미사용,5,"10, 710, 3710, 6000, 6010",1781.0,1821.4,40.40000000000009
Frostbite,target: 16 (anchor 미설정),target: 1 (anchor 미설정),5,"10, 710, 3710, 6000, 6010",2106.7,1821.4,-285.2999999999997
Frostbite,target: 16 (anchor: 0.4),Retrieval 미사용,5,"10, 710, 3710, 6000, 6010",1781.0,1902.9,121.9000000000001
Frostbite,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),5,"10, 710, 3710, 6000, 6010",2106.7,1902.9,-203.7999999999997
Krull,target: 4 (anchor 미설정),Retrieval 미사용,2,"2000, 2010",5311.0,5066.5,-244.5
Krull,target: 4 (anchor 미설정),target: 1 (anchor 미설정),2,"2000, 2010",5447.5,5066.5,-381.0
Krull,target: 8 (anchor: 0.3),Retrieval 미사용,2,"2000, 2010",5311.0,5042.0,-269.0
Krull,target: 8 (anchor: 0.3),target: 1 (anchor 미설정),2,"2000, 2010",5447.5,5042.0,-405.5
Krull,target: 12 (anchor: 0.12),Retrieval 미사용,2,"2000, 2010",5311.0,4942.75,-368.25
Krull,target: 12 (anchor: 0.12),target: 1 (anchor 미설정),2,"2000, 2010",5447.5,4942.75,-504.75
Krull,target: 12 (anchor: 0.2),Retrieval 미사용,2,"2000, 2010",5311.0,5376.5,65.5
Krull,target: 12 (anchor: 0.2),target: 1 (anchor 미설정),2,"2000, 2010",5447.5,5376.5,-71.0
Krull,target: 16 (anchor 미설정),Retrieval 미사용,2,"2000, 2010",5311.0,5588.5,277.5
Krull,target: 16 (anchor 미설정),target: 1 (anchor 미설정),2,"2000, 2010",5447.5,5588.5,141.0
Krull,target: 16 (anchor: 0.4),Retrieval 미사용,2,"2000, 2010",5311.0,4780.5,-530.5
Krull,target: 16 (anchor: 0.4),target: 1 (anchor 미설정),2,"2000, 2010",5447.5,4780.5,-667.0
