Game,Seed,Retrieval 미사용,target: 1 (anchor 미설정),target: 12 (anchor: 0.12),target: 12 (anchor: 0.2),target: 16 (anchor 미설정),target: 16 (anchor: 0.4),target: 4 (anchor 미설정),target: 8 (anchor: 0.3)
Alien,6000,1219.0,1303.5,1000.0,1212.0,1400.0,1525.5,1042.0,1234.5
Alien,6010,1177.5,1032.0,1091.0,1109.0,938.0,1003.0,850.5,1012.0
Amidar,6000,130.8,211.7,186.95,134.55,155.25,170.25,187.75,173.05
BattleZone,2000,5300.0,5550.0,8400.0,9250.0,5750.0,12400.0,10050.0,7600.0
BattleZone,2010,15900.0,13900.0,13500.0,11950.0,13650.0,12750.0,12000.0,14650.0
BattleZone,6000,14700.0,10950.0,14600.0,10700.0,14350.0,9300.0,12750.0,8100.0
BattleZone,6010,8200.0,5900.0,6000.0,10550.0,5650.0,9500.0,7350.0,5850.0
BattleZone,6020,8050.0,7450.0,7700.0,6150.0,10850.0,5500.0,6850.0,5450.0
Frostbite,10,2068.0,2301.0,2206.0,1576.0,1959.0,2127.5,2614.5,2469.0
Frostbite,710,2270.5,2609.0,2601.0,2399.5,1713.0,2493.5,2107.0,1933.5
Frostbite,3710,1904.0,3242.5,2233.5,2629.0,2710.0,2684.0,2895.5,2873.0
Frostbite,6000,2408.0,2119.5,2570.5,2378.5,2474.0,1969.5,2908.0,2673.5
Frostbite,6010,254.5,261.5,258.5,257.5,251.0,240.0,265.5,243.0
Krull,2000,4708.5,4851.0,4193.5,4257.5,5123.0,3667.5,4885.5,4314.0
Krull,2010,5913.5,6044.0,5692.0,6495.5,6054.0,5893.5,5247.5,5770.0
Qbert,1,1771.25,2818.75,2262.5,1712.5,1707.5,2335.0,3486.25,2147.5
Qbert,10,3786.25,1918.75,3260.0,2776.25,1913.75,2205.0,2887.5,3235.0
Qbert,3710,2940.0,2553.75,3016.25,2607.5,900.0,2226.25,2718.75,2648.75
Qbert,6000,2642.5,3782.5,3817.5,3980.0,2895.0,3712.5,3366.25,3032.5
UpNDown,6000,5715.5,5670.0,5773.0,5966.5,6043.0,5697.5,5422.0,5303.0
UpNDown,6010,6136.5,7178.0,7571.5,5694.5,6658.0,6277.0,6443.0,5784.0
UpNDown,6020,2709.5,3066.0,2830.0,2656.0,2974.5,3092.5,3493.5,3049.5
