Run ID,target,anchor_weight,hash_bits,global_rebuild_threshold,max_anchors,anchor_offset,steps,Config
ubtaj9sj,16,,9,0.06,16,-2,102000,target: 16 (anchor 미설정)
7yhsfsa7,16,,10,0.06,16,-2,102000,Retrieval 미사용
lby3b31o,1,,11,0.06,16,-2,102000,target: 1 (anchor 미설정)
8muy8hjz,8,0.3,10,0.06,16,-2,102000,Retrieval 미사용
2d26p8y1,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
m5jcaa5a,16,,10,0.06,16,-2,102000,Retrieval 미사용
xiph2t3p,16,,10,0.06,16,-2,102000,Retrieval 미사용
zsaukhwx,1,,11,0.06,16,-2,102000,target: 1 (anchor 미설정)
xkrcm9jk,16,,10,0.06,16,-2,102000,Retrieval 미사용
jzgh0p3a,16,,10,0.06,16,-2,102000,target: 16 (anchor 미설정)
ta82zwcr,16,0.4,10,0.06,16,-2,102000,target: 16 (anchor: 0.4)
ncy2ckvb,8,0.3,10,0.06,16,-2,102000,target: 8 (anchor: 0.3)
fzue8cpx,12,0.2,10,0.06,16,-2,102000,target: 12 (anchor: 0.2)
my03b615,8,0.3,10,0.06,16,-2,102000,Retrieval 미사용
3xzn7qnm,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
yd9o7wm7,8,0.3,10,0.06,16,-2,102000,Retrieval 미사용
0594ds6t,16,,10,0.06,16,-2,102000,Retrieval 미사용
j4cu2jxc,16,,9,0.06,16,-2,102000,target: 16 (anchor 미설정)
4ngtu7az,16,,10,0.06,16,-2,102000,target: 16 (anchor 미설정)
abdl7rky,16,,10,0.06,16,-2,102000,Retrieval 미사용
55cqyaw3,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
76wdl0rf,12,0.2,10,0.06,16,-2,102000,target: 12 (anchor: 0.2)
7y38q8bu,1,,11,0.06,16,-2,102000,target: 1 (anchor 미설정)
asyvz492,16,,10,0.06,16,-2,102000,target: 16 (anchor 미설정)
gjhharv9,16,0.4,10,0.06,16,-2,102000,target: 16 (anchor: 0.4)
ap3cp0gb,8,0.3,10,0.06,16,-2,102000,Retrieval 미사용
kztho94s,16,,10,0.06,16,-2,102000,target: 16 (anchor 미설정)
8cp7cfbx,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
5pfwi81q,16,0.4,10,0.06,16,-2,102000,Retrieval 미사용
w7rex1z4,16,0.4,10,0.06,16,-2,102000,Retrieval 미사용
ti2d8k6i,16,,10,0.06,16,-2,102000,Retrieval 미사용
sbhhiqzl,16,,10,0.06,16,-2,102000,Retrieval 미사용
10h0dasg,8,0.3,10,0.06,16,-2,102000,target: 8 (anchor: 0.3)
f22cjejm,12,0.12,10,0.12,16,-2,102000,target: 12 (anchor: 0.12)
53tmhdip,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
as286v3o,1,,11,0.06,16,-2,102000,target: 1 (anchor 미설정)
bgs3j37r,16,0.4,10,0.06,16,-2,102000,target: 16 (anchor: 0.4)
9vuw278h,16,,10,0.06,16,-2,102000,Retrieval 미사용
w071aum0,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
zl4mdqxb,1,,11,0.06,16,-2,102000,target: 1 (anchor 미설정)
k4o02nt6,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
6rblogus,16,,10,0.06,16,-2,102000,target: 16 (anchor 미설정)
25pg963s,16,,10,0.06,16,-2,102000,target: 16 (anchor 미설정)
eae7999i,12,0.2,10,0.06,16,-2,102000,target: 12 (anchor: 0.2)
hkojwxtr,1,,11,0.06,16,-2,102000,target: 1 (anchor 미설정)
zlgy3908,8,0.3,10,0.06,16,-2,102000,Retrieval 미사용
6wzftqu5,12,0.12,10,0.12,16,-2,102000,target: 12 (anchor: 0.12)
jpcwqn68,8,0.3,10,0.06,16,-2,102000,target: 8 (anchor: 0.3)
21dfi122,16,,10,0.06,16,-2,102000,Retrieval 미사용
w9ddyfb4,16,0.4,10,0.06,16,-2,102000,Retrieval 미사용
pzj25g3d,1,,11,0.06,16,-2,102000,target: 1 (anchor 미설정)
w4p3nwck,12,0.12,10,0.12,16,-2,102000,target: 12 (anchor: 0.12)
zgszlz75,16,0.4,10,0.06,16,-2,102000,target: 16 (anchor: 0.4)
jfm5fg45,12,0.2,10,0.06,16,-2,102000,target: 12 (anchor: 0.2)
2vcgxgdx,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
r1trg89u,12,0.2,10,0.06,16,-2,102000,target: 12 (anchor: 0.2)
w1hqiqbo,16,,10,0.06,16,-2,102000,Retrieval 미사용
toxgeo04,1,,11,0.06,16,-2,102000,target: 1 (anchor 미설정)
s9hi31ki,16,,10,0.06,16,-2,102000,Retrieval 미사용
es6yncsk,16,,10,0.06,16,-2,102000,Retrieval 미사용
6ayr06bd,12,0.12,10,0.12,16,-2,102000,target: 12 (anchor: 0.12)
m1aqiq1r,16,,10,0.06,16,-2,102000,Retrieval 미사용
dikonkyx,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
0i5yuas8,16,,10,0.06,16,-2,102000,Retrieval 미사용
tvlw910l,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
hjx29ozv,12,0.12,10,0.12,16,-2,102000,target: 12 (anchor: 0.12)
pp9azut3,16,,9,0.06,16,-2,102000,target: 16 (anchor 미설정)
3o3vuyjd,16,0.4,10,0.06,16,-2,102000,target: 16 (anchor: 0.4)
e6itftuv,1,,11,0.06,16,-2,102000,target: 1 (anchor 미설정)
bi06mry4,12,0.2,10,0.06,16,-2,102000,target: 12 (anchor: 0.2)
gngniyva,12,0.12,10,0.12,16,-2,102000,target: 12 (anchor: 0.12)
kui99qu2,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
e3gc8nbv,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
nl82qf67,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
1jd8nkls,16,,10,0.06,16,-2,102000,Retrieval 미사용
0g7od2ti,16,,10,0.06,16,-2,102000,Retrieval 미사용
koqbgsvp,16,,9,0.06,16,-2,102000,target: 16 (anchor 미설정)
z8em68fp,16,,10,0.06,16,-2,102000,target: 16 (anchor 미설정)
fhlq8r7s,16,,10,0.06,16,-2,102000,target: 16 (anchor 미설정)
8c4tiai3,12,0.12,10,0.12,16,-2,102000,target: 12 (anchor: 0.12)
jaj4v6zz,16,,10,0.06,16,-2,102000,target: 16 (anchor 미설정)
5nk7xlos,12,0.2,10,0.06,16,-2,102000,target: 12 (anchor: 0.2)
3810f6xi,1,,11,0.06,16,-2,102000,target: 1 (anchor 미설정)
nufwvhlv,12,0.12,10,0.12,16,-2,102000,target: 12 (anchor: 0.12)
ib1zhd0c,4,,10,0.06,16,-2,102000,target: 4 (anchor 미설정)
82by942d,16,,9,0.06,16,-2,102000,target: 16 (anchor 미설정)
