Game,Config,Seed,Eval Return,Created At,Run ID,Run Name,Target,Anchor Weight,Hash Bits,Warmup Steps,Calculated Warmup Steps,Source,Candidate Count
Alien,Retrieval 미사용,1,1142.0,2026-08-13T20:34:46+00:00,s9hi31ki,Alien_s9hi31ki_1_X,,,10.0,,,CSV,1
Alien,Retrieval 미사용,2000,688.5,2026-08-12T11:26:06+00:00,tspqrlhz,Alien_tspqrlhz_2000_X,,,10.0,,,CSV,1
Alien,Retrieval 미사용,2010,817.0,2026-08-16T03:20:35+00:00,22rpl8xp,Alien_22rpl8xp_2010_X,,,10.0,,,CSV,1
Alien,Retrieval 미사용,5090,842.5,2026-08-15T02:23:14+00:00,ivw80t9d,Alien_ivw80t9d_5090_X,,,10.0,,,CSV,1
Alien,Retrieval 미사용,6000,1219.0,2026-09-02T21:47:32+00:00,ic6akv9r,Alien_ic6akv9r_6000_X,,,9.0,,,CSV,4
Alien,Retrieval 미사용,6010,1177.5,2026-09-02T23:59:53+00:00,ch07udam,Alien_ch07udam_6010_X,,,9.0,,,CSV,4
Alien,target: 1 (anchor 미설정),1,1151.0,2026-09-03T13:57:06+00:00,3810f6xi,Alien_3810f6xi_1_O,1.0,,11.0,50000.0,50000.0,CSV,1
Alien,target: 1 (anchor 미설정),2000,641.0,2026-09-03T21:18:33+00:00,ts6fn9ut,Alien_ts6fn9ut_2000_O,1.0,,11.0,50000.0,50000.0,CSV,1
Alien,target: 1 (anchor 미설정),6000,1303.5,2026-09-03T15:19:42+00:00,jkskja9j,Alien_jkskja9j_6000_O,1.0,,11.0,50000.0,50000.0,CSV,1
Alien,target: 1 (anchor 미설정),6010,1032.0,2026-09-03T17:52:24+00:00,7lc9bxth,Alien_7lc9bxth_6010_O,1.0,,11.0,50000.0,50000.0,CSV,1
Alien,target: 12 (anchor: 0.12),1,1330.5,2026-09-10T00:32:41+00:00,vrz37gzy,Alien_vrz37gzy_1_O,12.0,0.12,10.0,50000.0,50000.0,CSV,1
Alien,target: 12 (anchor: 0.12),6000,1000.0,2026-09-09T22:47:07+00:00,lc9f195n,Alien_lc9f195n_6000_O,12.0,0.12,10.0,50000.0,50000.0,CSV,1
Alien,target: 12 (anchor: 0.12),6010,1091.0,2026-09-09T22:18:16+00:00,wkt6jba1,Alien_wkt6jba1_6010_O,12.0,0.12,10.0,50000.0,50000.0,CSV,1
Alien,target: 12 (anchor: 0.2),1,1116.5,2026-09-09T07:28:48+00:00,fzue8cpx,Alien_fzue8cpx_1_O,12.0,0.2,10.0,50000.0,50000.0,CSV,1
Alien,target: 12 (anchor: 0.2),2000,668.5,2026-09-09T07:03:41+00:00,mzhr12q6,Alien_mzhr12q6_2000_O,12.0,0.2,10.0,50000.0,50000.0,CSV,1
Alien,target: 12 (anchor: 0.2),6000,1212.0,2026-09-09T01:42:24+00:00,t8fjbqcy,Alien_t8fjbqcy_6000_O,12.0,0.2,10.0,50000.0,50000.0,CSV,1
Alien,target: 12 (anchor: 0.2),6010,1109.0,2026-09-09T01:28:04+00:00,s356pymr,Alien_s356pymr_6010_O,12.0,0.2,10.0,50000.0,50000.0,CSV,1
Alien,target: 16 (anchor 미설정),1,1153.0,2026-09-02T21:08:00+00:00,koqbgsvp,Alien_koqbgsvp_1_O,16.0,,9.0,50000.0,50000.0,CSV,2
Alien,target: 16 (anchor 미설정),2000,743.5,2026-08-25T15:23:04+00:00,6canyrhp,Alien_6canyrhp_2000_O,16.0,,10.0,50000.0,50000.0,CSV,1
