Run Name,Run ID,State,Commit,Logic,Eval Return,Retrieval Enable,Warmup Steps,Calculated Warmup Steps,Dynamic Warmup Delay Steps,Dynamic Warmup Target Steps,Min Warmup Steps,Batch Size Reduction,Z Score Threshold,Hash Bits,Retrieval Target,Anchor Weight,Seed,Created At
Assault_dido71hu,dido71hu,finished,c48ae97,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-05T20:51:49Z
Asterix_l4ym0k94,l4ym0k94,finished,c48ae97,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-06T00:13:16Z
BankHeist_3j118kwy,3j118kwy,finished,fd75de5,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-06T04:45:09Z
BattleZone_tb0nazhp,tb0nazhp,finished,26228dc,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-06T07:58:34Z
Boxing_cl8oz4q3,cl8oz4q3,finished,9229652,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-06T10:32:30Z
Breakout_726v606d,726v606d,finished,b735362,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,8,N/A,N/A,2026-08-06T13:05:21Z
ChopperCommand_bp6ykwxs,bp6ykwxs,finished,b735362,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,8,N/A,N/A,2026-08-06T15:37:01Z
CrazyClimber_5ifc4mwt,5ifc4mwt,finished,b735362,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,8,N/A,N/A,2026-08-06T18:02:19Z
DemonAttack_rtr1s4v6,rtr1s4v6,finished,b735362,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,8,N/A,N/A,2026-08-06T20:34:55Z
Freeway_h8nx72hu,h8nx72hu,finished,b735362,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,8,N/A,N/A,2026-08-06T23:02:15Z
