Run Name,Run ID,State,Commit,Logic,Eval Return,Retrieval Enable,Warmup Steps,Seed
Assault_dido71hu,dido71hu,finished,c48ae97,retrieved_count (without max),N/A,True,N/A,N/A
Asterix_l4ym0k94,l4ym0k94,finished,c48ae97,retrieved_count (without max),N/A,True,N/A,N/A
BankHeist_3j118kwy,3j118kwy,finished,fd75de5,retrieved_count (without max),N/A,True,N/A,N/A
BattleZone_tb0nazhp,tb0nazhp,finished,26228dc,retrieved_count (without max),N/A,True,N/A,N/A
Boxing_cl8oz4q3,cl8oz4q3,finished,9229652,retrieved_count (without max),N/A,True,N/A,N/A
Breakout_726v606d,726v606d,finished,b735362,retrieved_count (without max),N/A,True,N/A,N/A
ChopperCommand_bp6ykwxs,bp6ykwxs,finished,b735362,retrieved_count (without max),N/A,True,N/A,N/A
CrazyClimber_5ifc4mwt,5ifc4mwt,finished,b735362,retrieved_count (without max),N/A,True,N/A,N/A
DemonAttack_rtr1s4v6,rtr1s4v6,finished,b735362,retrieved_count (without max),N/A,True,N/A,N/A
Freeway_h8nx72hu,h8nx72hu,finished,b735362,retrieved_count (without max),N/A,True,N/A,N/A
Frostbite_hc1bfvxo,hc1bfvxo,finished,522459f,retrieved_count (without max),N/A,True,N/A,N/A
ChopperCommand_fcrzqnfl,fcrzqnfl,finished,906d580,retrieved_count (without max),N/A,True,N/A,N/A
Frostbite_lgr64hkl,lgr64hkl,finished,906d580,retrieved_count (without max),N/A,True,N/A,N/A
ChopperCommand_qgi59l89,qgi59l89,finished,12197ab,retrieved_count (without max),N/A,True,N/A,N/A
Frostbite_6phdabdf,6phdabdf,finished,f4ca35e,retrieved_count (without max),N/A,True,N/A,N/A
Hero_kfgedx37,kfgedx37,finished,12197ab,retrieved_count (without max),N/A,True,N/A,N/A
Asterix_pd3tngie,pd3tngie,finished,12197ab,retrieved_count (without max),N/A,True,N/A,N/A
Gopher_iv8hsasj,iv8hsasj,finished,12197ab,retrieved_count (without max),N/A,True,N/A,N/A
Gopher_4qrcg3zv,4qrcg3zv,finished,5d6dd17,retrieved_count (without max),N/A,True,N/A,N/A
Frostbite_j5wlpk0l,j5wlpk0l,finished,e682e51,retrieved_count (without max),261,True,N/A,N/A
Frostbite_yha95292,yha95292,finished,e682e51,retrieved_count (without max),2631,False,N/A,N/A
Frostbite_eiuv70yq,eiuv70yq,finished,f0361d8,num_valid_anchors,1897,True,5000,N/A
Gopher_u79ngx8e,u79ngx8e,finished,f0361d8,num_valid_anchors,1089,True,5000,N/A
ChopperCommand_0xtsin0l,0xtsin0l,finished,f0361d8,num_valid_anchors,1420,True,5000,N/A
Jamesbond_amedwsrz,amedwsrz,finished,f0361d8,num_valid_anchors,622.5,True,5000,N/A
Gopher_cq2v19hx,cq2v19hx,finished,a68e4c8,num_valid_anchors,3844,True,20000,N/A
Frostbite_aacxbr0j,aacxbr0j,finished,a68e4c8,num_valid_anchors,2535,True,20000,N/A
Gopher_m8qi1l1h,m8qi1l1h,finished,a85ff0a,num_valid_anchors,4545,False,N/A,N/A
Frostbite_8mq7xtze,8mq7xtze,finished,a85ff0a,num_valid_anchors,2709,True,20000,N/A
Jamesbond_23itjn25,23itjn25,finished,a85ff0a,num_valid_anchors,625,True,20000,N/A
Frostbite_p72nyono,p72nyono,finished,7c744f2,retrieved_count (without max),2068,False,N/A,N/A
Frostbite_dam6q2r6,dam6q2r6,finished,7c744f2,retrieved_count (without max),1904,False,N/A,N/A
Frostbite_g78da4qo,g78da4qo,finished,e8adbf6,num_valid_anchors,2408.5,True,20000,N/A
Frostbite_8kao4rty,8kao4rty,finished,e8adbf6,num_valid_anchors,2666.5,True,20000,N/A
Frostbite_rcqsx89t,rcqsx89t,finished,e8adbf6,num_valid_anchors,260.5,True,20000,N/A
Frostbite_er2boj14,er2boj14,finished,e8adbf6,num_valid_anchors,266.5,False,N/A,N/A
Hero_l245e0qe_10_O,l245e0qe,finished,90a0a5b,num_valid_anchors,12227.25,True,20000,N/A
